episode,arm,cell,policy,verdict,operator_placed,op_force_flag,class,grasp_success,haptic_success,under_grasp,over_grasp,crush,n_closes,close_src,t_first_close_s,z_first_close_mm,h_first_close_mm,t_grasp_close_s,z_grasp_close_mm,contact_a_evidence,pad_peak_after_close_n,pad_peak_n,pad_peak_min_n,pad_peak_take_n,pad_peak_take_min_n,pad_peak_pinch_n,area_peak_after_close,hold_s,lift_mm,drop,released,z_release_mm,y_release_m,ctrl_releases,obj2_frac_hold,obj2_frac_after_close,stop_reason,n_replans,agree,disagreement,notes,rule_grasp_ok
ep_teacher_Carton_1789502625_004,v6_simft2k,114,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.41,93.0,26.9,10.41,93.0,"load 9.7N, area 5.4",9.69,9.69,7.7,9.69,7.7,9.69,5.4,22.45,270.0,False,True,157.1,0.0729,1,0.928,0.079,operator_stop,88,True,,operator: s,
ep_teacher_Carton_1789502714_005,v6_simft2k,115,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.67,100.4,34.3,12.67,100.4,"load 10.0N, area 17.0",9.96,9.96,8.54,9.96,8.54,9.96,17.0,21.9,251.7,False,True,158.1,0.0708,1,0.787,0.0,operator_stop,96,True,,operator: s,
ep_teacher_Carton_1789502823_006,v6_simft2k,116,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",11.23,82.0,15.9,11.23,82.0,"load 11.3N, area 6.9",11.31,11.31,10.27,11.31,10.27,11.31,6.9,20.7,283.1,False,True,157.8,0.1016,1,0.871,0.0,operator_stop,61,True,,operator: s,
ep_teacher_Carton_1789502901_007,v6_simft2k,117,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.9,79.1,13.0,10.9,79.1,"load 11.5N, area 12.2",11.54,11.54,9.85,11.54,9.85,11.54,12.2,19.45,290.7,False,True,153.7,0.0955,0,0.764,0.0,operator_stop,65,True,,operator: s,
ep_teacher_Carton_1789502972_008,v6_simft2k,118,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.79,82.5,16.4,12.79,82.5,"load 11.5N, area 21.8",11.46,11.46,11.05,11.46,11.05,11.46,21.8,20.3,287.8,False,True,158.4,0.0912,0,0.479,0.0,operator_stop,72,True,,operator: s,
ep_teacher_Carton_1789503045_009,v6_simft2k,119,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",11.5,91.4,25.3,11.5,91.4,"load 9.7N, area 6.4",9.66,9.66,8.16,9.66,8.16,9.66,6.4,19.7,288.3,False,True,157.0,0.0952,1,0.837,0.0,operator_stop,62,True,,operator: s,
ep_teacher_Carton_1789503121_010,v6_simft2k,120,teacher,f,False,False,never_reached,False,False,False,False,False,0,"actions[:,6] (command)",,,,,,,0.0,0.0,0.0,2.5,0.04,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,safety_stop,9,True,,operator: f,
ep_teacher_waffles_1789500996_000,v6_simft2k,101,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",12.7,68.1,36.6,12.7,68.1,"load 15.2N, area 14.4",15.16,15.16,10.62,15.16,10.62,15.16,14.4,16.8,281.4,False,True,154.3,0.0967,1,0.91,0.0,operator_stop,92,True,,operator: s,
ep_teacher_waffles_1789501060_001,v6_simft2k,102,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.86,65.2,33.7,10.86,65.2,"load 14.9N, area 14.1",14.9,14.9,9.7,14.9,9.7,14.9,14.1,18.15,268.5,False,True,155.8,0.1026,1,0.925,0.0,operator_stop,87,True,,operator: s,
ep_teacher_waffles_1789501127_002,v6_simft2k,103,teacher,s,True,False,placed_clean,True,True,False,False,False,1,"actions[:,6] (command)",10.12,67.7,36.2,10.12,67.7,"load 15.5N, area 12.0",15.5,15.5,11.79,15.5,11.79,15.5,12.0,17.45,289.2,False,True,153.7,0.1012,1,0.904,0.0,operator_stop,85,True,,operator: s,
ep_teacher_waffles_1789501183_003,v6_simft2k,104,teacher,f,False,False,closed_on_air,False,False,False,False,False,2,"actions[:,6] (command)",11.53,70.7,39.2,,,,1.99,0.0,0.0,1.99,1.66,0.0,0.0,0.0,0.0,False,False,,,0,0.0,0.0,operator_stop,38,True,,operator: f,
